2026/07/12 22:04:52 [SERVER] Vector 已启用, PID=11036
12127
2026/07/12 22:04:52 [COLLECTOR] 采集器管理: http://localhost:8081
2026/07/12 22:04:53 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:05:19 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:05:46 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:06:14 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:06:42 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:07:09 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:07:37 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:08:07 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:08:35 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:09:02 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:09:29 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:09:56 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:10:24 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:10:52 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:11:19 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:11:49 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:12:16 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:12:44 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
2026/07/12 22:13:11 [COLLECTOR] 已向 http://localhost:8088 注册: {"Collector_ID":"C_LAPTOP_0ca52635","ok":true}
